mode,model_kind,ablation_name,fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
base,xgb,drop_COL_tyre_age_diff_to_ahead,1,19449,0.35000000000000003,0.38270985017846365,0.08535145341406386,0.4524017467248908,0.43676222596964587,0.4692028985507246,259,334,293,18563
base,xgb,drop_COL_rejoin_gap_ahead_est_s,1,19449,0.35000000000000003,0.364443421445127,0.08940277613727844,0.4503424657534247,0.42694805194805197,0.47644927536231885,263,353,289,18544
base,xgb,drop_COL_rejoin_gap_behind_est_s,1,19449,0.34,0.36794226874323943,0.08771396435622815,0.43500866551126516,0.4169435215946844,0.45471014492753625,251,351,301,18546
base,xgb,drop_UNDERCUT_PACK,1,19449,0.33,0.3315089841438781,0.09536445702068272,0.42939719240297275,0.3945371775417299,0.47101449275362317,260,399,292,18498
base,xgb,baseline_full,2,19527,0.32,0.3986317634705737,0.07621935715867705,0.43619909502262444,0.3937908496732026,0.48884381338742394,241,371,252,18663
base,xgb,drop_G_race_phase,2,19527,0.35000000000000003,0.3826800299639393,0.07916707691366721,0.4187380497131931,0.3960216998191682,0.44421906693711966,219,334,274,18700
base,xgb,drop_G_race_control,2,19527,0.34,0.36074780621275193,0.0815174312265959,0.4158415841584158,0.3737864077669903,0.4685598377281947,231,387,262,18647
base,xgb,drop_G_track,2,19527,0.27,0.30412277572518287,0.08415016544427946,0.3448275862068966,0.33524904214559387,0.35496957403651114,175,347,318,18687
base,xgb,drop_G_tyre_state,2,19527,0.33,0.28702782799967436,0.09202325275700998,0.3854425144747725,0.3254189944134078,0.4726166328600406,233,483,260,18551
base,xgb,drop_G_strategy_history,2,19527,0.33,0.42696685564045245,0.07170628062490637,0.4489402697495183,0.42752293577981654,0.4726166328600406,233,312,260,18722
base,xgb,drop_G_pace,2,19527,0.23,0.22966805394650602,0.08999327827042708,0.2869022869022869,0.2942430703624733,0.2799188640973631,138,331,355,18703
base,xgb,drop_G_traffic_proximity,2,19527,0.33,0.36711980150991663,0.08062169896152561,0.4092940125111707,0.365814696485623,0.4645030425963489,229,397,264,18637
base,xgb,drop_G_undercut_defence,2,19527,0.33,0.3693191698115146,0.07959315983613129,0.41139804096170973,0.36666666666666664,0.4685598377281947,231,399,262,18635
base,xgb,drop_G_undercut_window,2,19527,0.32,0.387465606785097,0.07824652437116893,0.425,0.379585326953748,0.4827586206896552,238,389,255,18645
base,xgb,drop_G_weather,2,19527,0.36000000000000004,0.4151496598295731,0.0750646468622353,0.4180790960451977,0.39015817223198596,0.45030425963488846,222,347,271,18687
base,xgb,drop_ENGINEERED_ALL,2,19527,0.33,0.35511516643050267,0.08115518613283687,0.4188393608074012,0.3577586206896552,0.5050709939148073,249,447,244,18587
base,xgb,drop_COL_fcy_status,2,19527,0.34,0.36074780621275193,0.0815174312265959,0.4158415841584158,0.3737864077669903,0.4685598377281947,231,387,262,18647
base,xgb,drop_COL_track_category,2,19527,0.35000000000000003,0.3757925331614793,0.07829601430602078,0.41488372093023257,0.38316151202749144,0.45233265720081134,223,359,270,18675
base,xgb,drop_COL_tyre_change_pursuer,2,19527,0.37,0.3762755116478761,0.07886881885339284,0.416195856873823,0.3884007029876977,0.4482758620689655,221,348,272,18686
base,xgb,drop_COL_close_ahead,2,19527,0.32,0.3544538306659254,0.08151603625736491,0.41354723707664887,0.3688394276629571,0.47058823529411764,232,397,261,18637
base,xgb,drop_COL_gap_behind_s,2,19527,0.3,0.35815862583221825,0.08189625168042892,0.41480206540447506,0.3602391629297459,0.48884381338742394,241,428,252,18606
base,xgb,drop_COL_n_cars_within_5s_ahead,2,19527,0.35000000000000003,0.35659394947578943,0.08228170887600468,0.4025735294117647,0.3680672268907563,0.44421906693711966,219,376,274,18658
base,xgb,drop_COL_tyre_age_diff_to_ahead,2,19527,0.36000000000000004,0.3588898375897555,0.08069435031209389,0.41284403669724773,0.3768844221105528,0.4563894523326572,225,372,268,18662
base,xgb,drop_COL_rejoin_gap_ahead_est_s,2,19527,0.35000000000000003,0.3832931899763555,0.07889331369420517,0.42318307267709293,0.3872053872053872,0.4665314401622718,230,364,263,18670
base,xgb,drop_COL_rejoin_gap_behind_est_s,2,19527,0.34,0.35685062050650673,0.08247086823157451,0.41298467087466184,0.3717532467532468,0.4645030425963489,229,387,264,18647
base,xgb,drop_UNDERCUT_PACK,2,19527,0.32,0.3518584473181392,0.08355715295728787,0.41161825726141077,0.34831460674157305,0.5030425963488844,248,464,245,18570
base,xgb,baseline_full,3,19436,0.34,0.5446382800281859,0.06260244613459953,0.5412004069175992,0.539553752535497,0.5428571428571428,266,227,224,18719
base,xgb,drop_G_race_phase,3,19436,0.33,0.539395069768495,0.06415825823059824,0.5394190871369294,0.5485232067510548,0.5306122448979592,260,214,230,18732
base,xgb,drop_G_race_control,3,19436,0.34,0.5331762945405121,0.06376984742711549,0.5264207377866401,0.5146198830409356,0.5387755102040817,264,249,226,18697
base,xgb,drop_G_track,3,19436,0.3,0.3136441230870394,0.08590081287200865,0.3611911623439001,0.3411978221415608,0.3836734693877551,188,363,302,18583
base,xgb,drop_G_tyre_state,3,19436,0.3,0.5893122865595821,0.05850497030905989,0.5739320920043811,0.6193853427895981,0.5346938775510204,262,161,228,18785
