mode,model_kind,ablation_name,fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
base,svm,drop_ENGINEERED_ALL,4,19504,0.13,0.19653424357629187,0.2731641243143379,0.3212192262602579,0.23620689655172414,0.5018315018315018,274,886,272,18072
base,svm,drop_COL_fcy_status,4,19504,0.13,0.22495263797663748,0.1650925911391554,0.32837596668649616,0.2431718061674009,0.5054945054945055,276,859,270,18099
base,svm,drop_COL_track_category,4,19504,0.09999999999999999,0.20962334838673194,0.174338988256047,0.31584640346133047,0.22409823484267075,0.5347985347985348,292,1011,254,17947
base,svm,drop_COL_tyre_change_pursuer,4,19504,0.14,0.2221187771964571,0.16808482824764445,0.323086196503918,0.2407906558849955,0.4908424908424908,268,845,278,18113
base,svm,drop_COL_close_ahead,4,19504,0.12,0.22171283623771867,0.17686781515184752,0.32435530085959885,0.23603002502085071,0.5183150183150184,283,916,263,18042
base,svm,drop_COL_gap_behind_s,4,19504,0.11,0.22967378298314484,0.1659626222317673,0.323447118074986,0.2328767123287671,0.5293040293040293,289,952,257,18006
base,svm,drop_COL_n_cars_within_5s_ahead,4,19504,0.11,0.20872940686656044,0.18501834615164064,0.3221099887766554,0.23220064724919093,0.5256410256410257,287,949,259,18009
base,svm,drop_COL_tyre_age_diff_to_ahead,4,19504,0.09999999999999999,0.22129455530786407,0.17092194712219844,0.3156768325307651,0.22297808012093726,0.5402930402930403,295,1028,251,17930
base,svm,drop_COL_rejoin_gap_ahead_est_s,4,19504,0.11,0.22519615973644305,0.1684813672762645,0.3310502283105023,0.24046434494195687,0.5311355311355311,290,916,256,18042
base,svm,drop_COL_rejoin_gap_behind_est_s,4,19504,0.12,0.22176496243752813,0.16543039100746676,0.31508379888268156,0.2266881028938907,0.5164835164835165,282,962,264,17996
base,svm,drop_UNDERCUT_PACK,4,19504,0.13,0.20917757963617362,0.223776080137426,0.3202380952380952,0.23721340388007053,0.4926739926739927,269,865,277,18093
