race_id,model_a,model_b,n_valid,pearson,spearman,disagree_rate,total_disagree,a_not_b,b_not_a
37,lstm,tcn,708,0.8094929103415209,0.7604865364326999,0.012711864406779662,9,4,5
37,lstm,tcn_gru,708,0.7315509250992522,0.5531870562755091,0.014124293785310734,10,3,7
37,tcn,tcn_gru,708,0.7972896961102333,0.6555033510775511,0.015536723163841809,11,4,7
38,gru,lstm,780,0.9319466763070278,0.739788982103976,0.010256410256410256,8,1,7
38,gru,tcn,780,0.846924588833658,0.259083771821301,0.014102564102564103,11,8,3
38,gru,tcn_gru,780,0.784954928020265,0.28389615772139415,0.021794871794871794,17,10,7
38,lstm,tcn,780,0.7884286969285806,0.327250879262306,0.021794871794871794,17,14,3
38,lstm,tcn_gru,780,0.7644424233900962,0.25198809940895317,0.02435897435897436,19,14,5
38,tcn,tcn_gru,780,0.8811992184781222,0.592674240727903,0.01282051282051282,10,4,6
39,gru,lstm,530,0.7820070921563811,0.7899626180013538,0.0509433962264151,27,19,8
39,gru,tcn,530,0.7338091423968185,0.6633636463841466,0.04339622641509434,23,13,10
39,gru,tcn_gru,530,0.7050192565699472,0.5992980220447194,0.04150943396226415,22,16,6
39,lstm,tcn,530,0.8158392118717582,0.7014903429668907,0.033962264150943396,18,5,13
39,lstm,tcn_gru,530,0.7808779283905426,0.7567367092999989,0.035849056603773584,19,9,10
39,tcn,tcn_gru,530,0.8085635055332936,0.7091622067610819,0.035849056603773584,19,13,6
40,gru,lstm,610,0.8242125707933036,0.8025305640174101,0.03114754098360656,19,8,11
40,gru,tcn,610,0.8074903640994352,0.6149549835560685,0.022950819672131147,14,13,1
40,gru,tcn_gru,610,0.7829751356352602,0.5020158701815607,0.02459016393442623,15,11,4
40,lstm,tcn,610,0.712575515469103,0.5533084142640042,0.03114754098360656,19,17,2
40,lstm,tcn_gru,610,0.7072295306029672,0.5732864663764979,0.03278688524590164,20,15,5
40,tcn,tcn_gru,610,0.8407571967063555,0.6046735843567806,0.014754098360655738,9,2,7
41,gru,lstm,660,0.9223176475493854,0.8467971272160446,0.01818181818181818,12,6,6
41,gru,tcn,660,0.8319225791421319,0.6125243212637812,0.025757575757575757,17,11,6
41,gru,tcn_gru,660,0.8694112023501294,0.49915566631445235,0.024242424242424242,16,11,5
41,lstm,tcn,660,0.8956537126684405,0.740782316680333,0.016666666666666666,11,8,3
41,lstm,tcn_gru,660,0.9201067840121038,0.6188522847013799,0.01818181818181818,12,9,3
41,tcn,tcn_gru,660,0.940956161037559,0.5897419832961467,0.010606060606060607,7,4,3
