race_id,row_id,y_true,y_pred,p_max,correct,explained_class,rank,feature,shap_signed,shap_abs,feature_value,group,direction
75,1760,0,0,0.9886229634284973,1,HARD,1,race_track,0.8992632031440735,3.641974687576294,Russian Grand Prix,G_track,push_HARD
75,1760,0,0,0.9886229634284973,1,HARD,2,p_xgb_c0,0.7232311964035034,0.7232311964035034,0.978863537311554,OTHER,push_HARD
75,1760,0,0,0.9886229634284973,1,HARD,3,race_progress,0.2928261458873749,0.2928261458873749,0.2641509433962264,G_race_phase,push_HARD
75,1760,0,0,0.9886229634284973,1,HARD,4,p_svm_c3,0.2410591095685959,0.2410591095685959,4.7655771588867794e-05,OTHER,push_HARD
75,1760,0,0,0.9886229634284973,1,HARD,5,p_svm_c0,0.23244152963161469,0.23244152963161469,0.9627086896350601,OTHER,push_HARD
75,1760,0,0,0.9886229634284973,1,HARD,6,p_rf_c0,0.18552158772945404,0.18552158772945404,0.8377182209585048,OTHER,push_HARD
75,1778,0,0,0.9847474098205566,1,HARD,1,race_track,0.9055117964744568,3.6600217819213867,Russian Grand Prix,G_track,push_HARD
75,1778,0,0,0.9847474098205566,1,HARD,2,p_xgb_c0,0.7252916097640991,0.7252916097640991,0.9698776006698608,OTHER,push_HARD
75,1778,0,0,0.9847474098205566,1,HARD,3,race_progress,0.29888585209846497,0.29888585209846497,0.2452830188679245,G_race_phase,push_HARD
75,1778,0,0,0.9847474098205566,1,HARD,4,p_svm_c0,0.2888510525226593,0.2888510525226593,0.9607493912439599,OTHER,push_HARD
75,1778,0,0,0.9847474098205566,1,HARD,5,p_rf_c0,0.19790369272232056,0.19790369272232056,0.8369618556411945,OTHER,push_HARD
75,1778,0,0,0.9847474098205566,1,HARD,6,p_svm_c1,0.18583329021930695,0.18583329021930695,0.0342649953722687,OTHER,push_HARD
75,1765,3,2,0.8982750177383423,0,SOFT,1,race_track,0.05576348304748535,4.802568435668945,Russian Grand Prix,G_track,push_SOFT
75,1765,3,2,0.8982750177383423,0,SOFT,2,race_progress,0.7297698855400085,0.7297698855400085,0.9433962264150944,G_race_phase,push_SOFT
75,1765,3,2,0.8982750177383423,0,SOFT,3,p_svm_c0,0.560070812702179,0.560070812702179,0.004207571231890813,OTHER,push_SOFT
75,1765,3,2,0.8982750177383423,0,SOFT,4,p_xgb_c2,0.4409951865673065,0.4409951865673065,0.8724257946014404,OTHER,push_SOFT
75,1765,3,2,0.8982750177383423,0,SOFT,5,p_svm_c2,0.391330361366272,0.391330361366272,0.7518250720851076,OTHER,push_SOFT
75,1765,3,2,0.8982750177383423,0,SOFT,6,p_xgb_c0,0.3066129982471466,0.3066129982471466,0.008795123547315598,OTHER,push_SOFT
75,1767,3,2,0.8982750177383423,0,SOFT,1,race_track,0.05576348304748535,4.802568435668945,Russian Grand Prix,G_track,push_SOFT
75,1767,3,2,0.8982750177383423,0,SOFT,2,race_progress,0.7297698855400085,0.7297698855400085,0.9433962264150944,G_race_phase,push_SOFT
75,1767,3,2,0.8982750177383423,0,SOFT,3,p_svm_c0,0.560070812702179,0.560070812702179,0.004207571231890813,OTHER,push_SOFT
75,1767,3,2,0.8982750177383423,0,SOFT,4,p_xgb_c2,0.4409951865673065,0.4409951865673065,0.8724257946014404,OTHER,push_SOFT
75,1767,3,2,0.8982750177383423,0,SOFT,5,p_svm_c2,0.391330361366272,0.391330361366272,0.7518250720851076,OTHER,push_SOFT
75,1767,3,2,0.8982750177383423,0,SOFT,6,p_xgb_c0,0.3066129982471466,0.3066129982471466,0.008795123547315598,OTHER,push_SOFT
