slice_col,slice_value,ablation_name,fold_id,threshold_used,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN,n_rows,n_pos,pos_rate
slice_phase_x_tyre,mid×0_5,stream_p_ann,3,0.5700000000000001,0.016735264857341444,0.14747818446460545,0.0,0.0,0.0,0,12,14,1232,1258,14,0.011128775834658187
slice_phase_x_tyre,mid×16_plus,stream_p_ann,3,0.5700000000000001,0.13164718014980295,0.3452135853478889,0.1111111111111111,0.16822429906542055,0.08294930875576037,18,89,199,2637,2943,217,0.07373428474345906
slice_phase_x_tyre,mid×6_15,stream_p_ann,3,0.5700000000000001,0.14860079904698031,0.17132753602758863,0.2222222222222222,0.23076923076923078,0.21428571428571427,6,20,22,2202,2250,28,0.012444444444444444
slice_phase_x_tyre,mid×nan,stream_p_ann,3,0.5700000000000001,,,0.0,0.0,0.0,0,0,0,49,49,0,0.0
slice_phase_x_tyre,early×0_5,stream_p_ann,4,0.5700000000000001,0.0773081902920379,0.24789592992127127,0.1834862385321101,0.13513513513513514,0.2857142857142857,10,64,25,1605,1704,35,0.020539906103286387
slice_phase_x_tyre,early×16_plus,stream_p_ann,4,0.5700000000000001,0.1181717945476305,0.28722367693482015,0.128,0.20512820512820512,0.09302325581395349,8,31,78,1224,1341,86,0.06413124533929904
slice_phase_x_tyre,early×6_15,stream_p_ann,4,0.5700000000000001,0.05737322088990969,0.23786730044894955,0.06382978723404255,0.05128205128205128,0.08450704225352113,6,111,65,3106,3288,71,0.02159367396593674
slice_phase_x_tyre,early×nan,stream_p_ann,4,0.5700000000000001,0.8905228758169935,0.3097603486881688,0.8695652173913043,0.9090909090909091,0.8333333333333334,10,1,2,42,55,12,0.21818181818181817
slice_phase_x_tyre,late×0_5,stream_p_ann,4,0.5700000000000001,0.34181255026780977,0.10061820358227476,0.0,0.0,0.0,0,0,3,487,490,3,0.006122448979591836
slice_phase_x_tyre,late×16_plus,stream_p_ann,4,0.5700000000000001,0.08351946251018888,0.164592353312966,0.09009009009009009,0.17857142857142858,0.060240963855421686,5,23,78,4172,4278,83,0.019401589527816735
slice_phase_x_tyre,late×6_15,stream_p_ann,4,0.5700000000000001,0.15316779144366555,0.08476430499037113,0.25,1.0,0.14285714285714285,1,0,6,1801,1808,7,0.0038716814159292035
slice_phase_x_tyre,mid×0_5,stream_p_ann,4,0.5700000000000001,0.010584928181823237,0.1196204643584923,0.0,0.0,0.0,0,10,12,1153,1175,12,0.010212765957446808
slice_phase_x_tyre,mid×16_plus,stream_p_ann,4,0.5700000000000001,0.10195472620798324,0.37864955432447844,0.07669616519174041,0.125,0.05531914893617021,13,91,222,2581,2907,235,0.08083935328517372
slice_phase_x_tyre,mid×6_15,stream_p_ann,4,0.5700000000000001,0.006350297982060732,0.13202039709941601,0.0,0.0,0.0,0,4,17,2355,2376,17,0.007154882154882155
slice_phase_x_tyre,mid×nan,stream_p_ann,4,0.5700000000000001,0.26149549424005947,0.7781320221217998,0.0,0.0,0.0,0,0,8,32,40,8,0.2
slice_phase_x_tyre,early×0_5,stream_p_rf,0,0.13,0.24439248395272817,0.06346033611044438,0.19607843137254902,0.14705882352941177,0.29411764705882354,10,58,24,1713,1805,34,0.018836565096952907
slice_phase_x_tyre,early×16_plus,stream_p_rf,0,0.13,0.29376082455324526,0.1946313725639004,0.3253588516746411,0.2698412698412698,0.40963855421686746,34,92,49,1125,1300,83,0.06384615384615384
slice_phase_x_tyre,early×6_15,stream_p_rf,0,0.13,0.296674139640887,0.08757327784901335,0.30526315789473685,0.26851851851851855,0.35365853658536583,29,79,53,3097,3258,82,0.025168815224063844
slice_phase_x_tyre,early×nan,stream_p_rf,0,0.13,,,0.0,0.0,0.0,0,0,0,10,10,0,0.0
slice_phase_x_tyre,late×0_5,stream_p_rf,0,0.13,0.04769585253456221,0.04106141964494248,0.0,0.0,0.0,0,2,3,482,487,3,0.006160164271047228
slice_phase_x_tyre,late×16_plus,stream_p_rf,0,0.13,0.27410036171254876,0.0701753576562616,0.2978723404255319,0.21341463414634146,0.49295774647887325,35,129,36,3923,4123,71,0.017220470531166626
slice_phase_x_tyre,late×6_15,stream_p_rf,0,0.13,0.14812403510291122,0.04699021200463474,0.0,0.0,0.0,0,0,18,1781,1799,18,0.010005558643690939
slice_phase_x_tyre,late×nan,stream_p_rf,0,0.13,0.5147058823529411,0.0565182003489457,0.0,0.0,0.0,0,0,2,157,159,2,0.012578616352201259
slice_phase_x_tyre,mid×0_5,stream_p_rf,0,0.13,,,0.0,0.0,0.0,0,0,0,1096,1096,0,0.0
slice_phase_x_tyre,mid×16_plus,stream_p_rf,0,0.13,0.32638051967301085,0.19908981553515198,0.29740791268758526,0.20297951582867785,0.5561224489795918,109,428,87,2363,2987,196,0.06561767659859391
