number,value,datetime_start,datetime_complete,duration,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
480,1.2345893689104614,2026-02-26 10:34:48.565608,2026-02-26 10:34:49.035203,0 days 00:00:00.469595,0.7506382901435881,0.516004894448802,0.019865716116863004,0.2230231380771594,6,7,12,2710,0.007247162092086054,0.021290943976232764,0.6006940429986123,PRUNED
481,1.2400735156062037,2026-02-26 10:34:49.064722,2026-02-26 10:34:49.573885,0 days 00:00:00.509163,0.7453277510022646,0.5041187872036669,0.015437751795360461,0.23937801184087806,10,9,12,2310,0.0023912745083724935,0.03435172564293002,0.611254183302308,PRUNED
482,1.269252831759577,2026-02-26 10:34:49.602814,2026-02-26 10:34:50.070362,0 days 00:00:00.467548,0.7642405044760002,0.5263349631935614,0.024391996561821765,0.2269781704023297,6,7,12,2560,0.00236985713647664,0.04259872344471245,0.6162450742641504,PRUNED
483,1.5169816915055283,2026-02-26 10:34:50.098920,2026-02-26 10:34:51.091534,0 days 00:00:00.992614,0.753158458659592,0.48980100975299923,0.018287272512867297,0.023591585542365682,6,6,12,2734,0.0034150379199042215,0.013528788904308395,0.611788875648468,COMPLETE
484,1.2716120900476546,2026-02-26 10:34:51.123983,2026-02-26 10:34:51.659944,0 days 00:00:00.535961,0.7354587777648894,0.534966317652906,0.02361081431540368,0.19916602206235526,6,9,12,2477,0.004369935959407852,0.015986961346441644,0.9833145567868172,PRUNED
485,1.2226876592901028,2026-02-26 10:34:51.687672,2026-02-26 10:34:52.134079,0 days 00:00:00.446407,0.7243243106357073,0.4567726509178412,0.030499672210634963,0.23943233415677265,7,7,12,2603,0.005399702499834162,0.021860348706886554,0.6320233538330806,PRUNED
486,1.4293980852476127,2026-02-26 10:34:52.163779,2026-02-26 10:34:52.766630,0 days 00:00:00.602851,0.7726309259385186,0.5051490127777245,0.026998772693510042,0.21067094830573385,6,9,12,2900,0.0025327507069068888,0.026486339715843348,0.617615461845339,COMPLETE
487,1.2301924970580582,2026-02-26 10:34:52.800772,2026-02-26 10:34:53.309284,0 days 00:00:00.508512,0.7761726048341928,0.5037500339987935,0.022019661297820778,0.1932141357085986,6,9,12,2865,0.0021422518513455205,0.04652135979742258,0.6184520323420134,PRUNED
488,1.4296017034867874,2026-02-26 10:34:53.337461,2026-02-26 10:34:53.896109,0 days 00:00:00.558648,0.790180827742849,0.5191602147297019,0.019222427336311174,0.19960732388421837,6,7,12,2770,0.0024413046603206016,0.008930371925333159,0.6118052578939226,COMPLETE
489,1.2525447280072883,2026-02-26 10:34:53.927533,2026-02-26 10:34:54.409414,0 days 00:00:00.481881,0.78241586009461,0.5175571554457693,0.352345158882875,0.20665552730144288,6,7,12,2936,0.0025054361405248073,0.009563866522045501,0.6123617315250213,PRUNED
490,1.2641751491864512,2026-02-26 10:34:54.438661,2026-02-26 10:34:54.924713,0 days 00:00:00.486052,0.7778261718782654,0.5316603920071886,0.0011787057536048209,0.2082463277614832,6,7,12,2758,0.0018696390135329501,0.03614457021746902,0.6038224958209172,PRUNED
491,1.235115534849897,2026-02-26 10:34:54.955412,2026-02-26 10:34:55.456854,0 days 00:00:00.501442,0.7618788549737,0.511769952296512,0.019762018432362232,0.2143958305109102,6,9,12,2831,0.003120926260638547,0.05765561561261169,0.6106020734378328,PRUNED
492,1.2446391008624447,2026-02-26 10:34:55.483845,2026-02-26 10:34:56.009502,0 days 00:00:00.525657,0.8029719013933233,0.5222817618708504,0.027246403943737615,0.22077454408866864,6,9,12,2677,0.0037327811911107714,0.002154067441408338,0.6009737983073229,PRUNED
493,1.4246789512468636,2026-02-26 10:34:56.037955,2026-02-26 10:34:56.632640,0 days 00:00:00.594685,0.7907299972277915,0.4958140998238396,0.02709231713978575,0.1980476682473716,6,7,12,2807,0.0021823364212846938,0.025771285057865568,0.6203919325634217,COMPLETE
494,1.2361325299633894,2026-02-26 10:34:56.666028,2026-02-26 10:34:57.163912,0 days 00:00:00.497884,0.7957041836900833,0.5133945451079124,0.025459380969320693,0.1940639026319938,6,7,12,2800,0.0020156290485319047,0.020227068183144806,0.6199008318215061,PRUNED
495,1.4393280065897927,2026-02-26 10:34:57.191729,2026-02-26 10:34:57.737843,0 days 00:00:00.546114,0.7898039292635388,0.4985480831675744,0.02800611416133709,0.19820116925799586,6,7,12,2798,0.002373761912239463,0.004058789266597004,0.6147094346334471,COMPLETE
496,1.2627385281036299,2026-02-26 10:34:57.770119,2026-02-26 10:34:58.236650,0 days 00:00:00.466531,0.80310695306731,0.49088521919111877,0.03406163974679962,0.20167940592997075,6,7,12,2886,0.0016853070144127584,0.021257090867263462,0.6220474313066157,PRUNED
497,1.2385993724669069,2026-02-26 10:34:58.265502,2026-02-26 10:34:58.732508,0 days 00:00:00.467006,0.7737691357167173,0.5072810150723018,0.021753564290813716,0.2090098015418721,6,7,12,3051,0.0020781661650485545,0.02491859969748903,0.6063991442241569,PRUNED
498,1.2282818344858686,2026-02-26 10:34:58.763738,2026-02-26 10:34:59.297723,0 days 00:00:00.533985,0.809596597949768,0.5290407223214809,0.01795222552219677,0.19193491274911662,6,7,12,2683,0.0018639808249548105,0.00746025802585886,0.6148075241206495,PRUNED
499,1.2277008347175795,2026-02-26 10:34:59.327258,2026-02-26 10:34:59.807883,0 days 00:00:00.480625,0.7900550428669436,0.4907643928720159,0.024601233646420664,0.20530363793243703,6,7,12,2852,0.0026048953972785988,0.032970198942361424,0.6248598211479638,PRUNED
500,1.247695052209373,2026-02-26 10:34:59.837557,2026-02-26 10:35:00.352973,0 days 00:00:00.515416,0.8104838358280038,0.5001259477550859,0.02985769260156242,0.2157307811084635,6,7,12,2995,0.0022241759188648025,0.006722262057351112,0.6103682781703613,PRUNED
501,1.244509780715746,2026-02-26 10:35:00.380776,2026-02-26 10:35:00.876120,0 days 00:00:00.495344,0.7846573542068096,0.5090578426970175,0.015878868415471214,0.19308100314454876,6,7,12,2739,0.0015840014925775573,0.025568214971041142,0.6283576969373993,PRUNED
502,1.4298079608489318,2026-02-26 10:35:00.905128,2026-02-26 10:35:01.408745,0 days 00:00:00.503617,0.79341443522281,0.5382287458712628,0.020879435100339648,0.21993205069445784,7,3,12,2517,0.0025677712890363378,0.03092257020457319,0.6192632410448319,COMPLETE
503,1.4296669590863957,2026-02-26 10:35:01.441766,2026-02-26 10:35:02.002224,0 days 00:00:00.560458,0.7663034425176903,0.47926506195816654,0.03512612689817906,0.20565985060130845,6,7,12,2913,0.0015852018722720721,0.016109384449121373,0.6051981580775068,COMPLETE
504,1.2411829142335038,2026-02-26 10:35:02.034172,2026-02-26 10:35:02.510625,0 days 00:00:00.476453,0.757241516542966,0.5187847874601319,0.02715503188601726,0.18394967947744484,6,6,12,2711,0.001827488397063662,0.02323565827008442,0.6294485653359055,PRUNED
505,1.2300600529404417,2026-02-26 10:35:02.545549,2026-02-26 10:35:03.841185,0 days 00:00:01.295636,0.7855011867073127,0.5448732756056625,0.01386946380490552,0.22020089251270195,6,7,12,2566,0.002959151172432341,0.011631903170839696,0.6174877027621661,PRUNED
506,1.4261668519427697,2026-02-26 10:35:03.869824,2026-02-26 10:35:04.428724,0 days 00:00:00.558900,0.7721884188056402,0.4894368324324712,0.021623993729898934,0.21053370004890065,6,7,12,2836,0.00218151484834629,0.0265697063038416,0.6332485922058733,COMPLETE
507,1.2312060936515437,2026-02-26 10:35:04.462238,2026-02-26 10:35:04.920852,0 days 00:00:00.458614,0.7696541401357357,0.4829312918510944,0.04069536290030117,0.227691337430357,7,7,12,3025,0.00145433100014478,0.026772254421397874,0.6332283381591854,PRUNED
508,1.2666186288174976,2026-02-26 10:35:04.951420,2026-02-26 10:35:05.527687,0 days 00:00:00.576267,0.7573393969460491,0.49364962594560857,0.030878956798607943,0.2135484420293906,6,8,12,2887,0.0019203913344525687,0.025915734897585873,0.6364914736149923,PRUNED
