number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight_mode,params_gamma,params_kernel,params_max_iter,params_pos_weight,params_tol,state
72,0.09173129647258496,2026-02-26 11:38:51.937893,2026-02-26 11:43:14.099521,0 days 00:04:22.161628,0.42072219417849477,5,isotonic,custom,0.41876886844905015,rbf,,28.941824166061885,,PRUNED
73,0.09722293730407656,2026-02-26 11:43:14.140030,2026-02-26 11:49:21.434857,0 days 00:06:07.294827,0.7885709617926605,5,sigmoid,balanced,0.6808056415314045,rbf,,,,PRUNED
74,0.10571531269725865,2026-02-26 11:49:21.465695,2026-02-26 11:50:40.743003,0 days 00:01:19.277308,0.2674313320761821,5,sigmoid,balanced,0.1661685659535706,rbf,,,,COMPLETE
75,0.10541064119337355,2026-02-26 11:50:40.779694,2026-02-26 11:51:57.223389,0 days 00:01:16.443695,0.2645754120218909,5,sigmoid,balanced,0.1492844437255605,rbf,,,,COMPLETE
76,0.10536527065024726,2026-02-26 11:51:57.252486,2026-02-26 11:53:11.452515,0 days 00:01:14.200029,0.2795503247309824,5,sigmoid,balanced,0.14330084753849356,rbf,,,,COMPLETE
77,0.10524275223319757,2026-02-26 11:53:11.481607,2026-02-26 11:54:27.521847,0 days 00:01:16.040240,0.256654547949156,5,sigmoid,balanced,0.13937054370407984,rbf,,,,COMPLETE
78,0.08930908410937388,2026-02-26 11:54:27.551271,2026-02-26 11:58:21.631197,0 days 00:03:54.079926,0.262029457300621,5,sigmoid,balanced,0.36941121323841475,rbf,,,,PRUNED
79,0.10456644115606784,2026-02-26 11:58:21.664066,2026-02-26 12:00:19.125623,0 days 00:01:57.461557,0.07766849527934991,5,sigmoid,balanced,0.13745545006836737,rbf,,,,COMPLETE
80,0.11784700739387208,2026-02-26 12:00:19.180546,2026-02-26 12:00:22.428992,0 days 00:00:03.248446,0.024340419779787126,5,sigmoid,balanced,,linear,9394.0,,0.0013203688293384115,PRUNED
81,0.10468648729675686,2026-02-26 12:00:22.452380,2026-02-26 12:02:18.092850,0 days 00:01:55.640470,0.08256812195741765,5,sigmoid,balanced,0.141886923064782,rbf,,,,COMPLETE
82,0.08832506735790646,2026-02-26 12:02:18.121962,2026-02-26 12:03:32.653695,0 days 00:01:14.531733,0.0778367714897789,3,sigmoid,balanced,0.2785228726431429,rbf,,,,PRUNED
83,0.11214558448471894,2026-02-26 12:03:32.679523,2026-02-26 12:04:46.798687,0 days 00:01:14.119164,0.07160530698604724,5,isotonic,custom,0.12753140172688465,rbf,,14.248006029513084,,COMPLETE
84,0.10752193761534205,2026-02-26 12:04:46.826226,2026-02-26 12:06:41.564053,0 days 00:01:54.737827,0.13726403944965362,5,sigmoid,balanced,0.23044662700601684,rbf,,,,COMPLETE
85,0.09491552668458063,2026-02-26 12:06:41.592351,2026-02-26 12:12:09.181469,0 days 00:05:27.589118,0.33655179113821276,5,sigmoid,balanced,0.5566495671620113,rbf,,,,PRUNED
86,0.10380475875801838,2026-02-26 12:12:09.206507,2026-02-26 12:14:17.616660,0 days 00:02:08.410153,0.03575265776018722,5,sigmoid,balanced,0.07968999800689697,rbf,,,,COMPLETE
87,0.10376885019484616,2026-02-26 12:14:17.663328,2026-02-26 12:16:27.253104,0 days 00:02:09.589776,0.03246021583587636,5,sigmoid,balanced,0.06616848303144837,rbf,,,,COMPLETE
88,0.10389461661546166,2026-02-26 12:16:27.296940,2026-02-26 12:18:42.153162,0 days 00:02:14.856222,0.028186620483830232,5,sigmoid,balanced,0.07664038999323053,rbf,,,,COMPLETE
89,0.10386625210217497,2026-02-26 12:18:42.182018,2026-02-26 12:20:56.734383,0 days 00:02:14.552365,0.029724966369118297,5,sigmoid,balanced,0.07801038700682487,rbf,,,,COMPLETE
90,0.10376997555187906,2026-02-26 12:20:56.762280,2026-02-26 12:23:06.795234,0 days 00:02:10.032954,0.030731946829614134,5,sigmoid,balanced,0.06075403180027898,rbf,,,,COMPLETE
91,0.10378291219171894,2026-02-26 12:23:06.823766,2026-02-26 12:25:16.724454,0 days 00:02:09.900688,0.03349406042608866,5,sigmoid,balanced,0.07059631307110674,rbf,,,,COMPLETE
92,0.10382222198702458,2026-02-26 12:25:16.752462,2026-02-26 12:27:28.858415,0 days 00:02:12.105953,0.03235937114875505,5,sigmoid,balanced,0.07761289621003128,rbf,,,,COMPLETE
93,0.11671808206200109,2026-02-26 12:27:28.886771,2026-02-26 12:27:33.087118,0 days 00:00:04.200347,0.016264119616059374,5,sigmoid,balanced,,linear,4803.0,,4.891755195698303e-05,PRUNED
94,0.10374055881567049,2026-02-26 12:27:33.110745,2026-02-26 12:29:39.430174,0 days 00:02:06.319429,0.03671199060227741,5,sigmoid,balanced,0.06942445281813157,rbf,,,,COMPLETE
95,0.10378222764824815,2026-02-26 12:29:39.477820,2026-02-26 12:31:49.349842,0 days 00:02:09.872022,0.035110062564749626,5,sigmoid,balanced,0.07512473349597788,rbf,,,,COMPLETE
96,0.10386705965756267,2026-02-26 12:31:49.378380,2026-02-26 12:34:03.414177,0 days 00:02:14.035797,0.03378994328116909,5,sigmoid,balanced,0.08871766931352443,rbf,,,,COMPLETE
97,0.10064112792614295,2026-02-26 12:34:03.443018,2026-02-26 12:37:21.461389,0 days 00:03:18.018371,0.03046791983017571,5,sigmoid,balanced,1.1127968534340974e-05,rbf,,,,PRUNED
98,0.10391444710599843,2026-02-26 12:37:21.487227,2026-02-26 12:39:24.984193,0 days 00:02:03.496966,0.046284208368466855,5,sigmoid,balanced,0.08774940679794452,rbf,,,,COMPLETE
99,0.0866311553968476,2026-02-26 12:39:25.012799,2026-02-26 12:41:33.741743,0 days 00:02:08.728944,0.03156167141868778,5,sigmoid,balanced,0.05323947405616042,rbf,,,,PRUNED
100,0.10021474943554874,2026-02-26 12:41:33.766316,2026-02-26 12:43:08.448011,0 days 00:01:34.681695,0.017499663984968186,3,sigmoid,balanced,0.00021973326058218282,rbf,,,,PRUNED
101,0.11172888580396564,2026-02-26 12:43:08.473016,2026-02-26 12:45:16.929516,0 days 00:02:08.456500,0.035581329340331175,5,isotonic,balanced,0.0764869938218943,rbf,,,,COMPLETE
102,0.09500484411766451,2026-02-26 12:45:16.958175,2026-02-26 12:47:39.059911,0 days 00:02:22.101736,0.02153061156091996,5,sigmoid,balanced,0.015447675664502539,rbf,,,,PRUNED
103,0.10401973625375889,2026-02-26 12:47:39.086938,2026-02-26 12:49:41.935464,0 days 00:02:02.848526,0.05121796203943163,5,sigmoid,balanced,0.09738748007512718,rbf,,,,COMPLETE
104,0.10394191517253785,2026-02-26 12:49:41.963487,2026-02-26 12:51:46.551779,0 days 00:02:04.588292,0.04608633274916957,5,sigmoid,balanced,0.09166999776426717,rbf,,,,COMPLETE
105,0.08821732853795419,2026-02-26 12:51:46.581162,2026-02-26 12:53:40.432113,0 days 00:01:53.850951,0.06087716060099598,5,sigmoid,balanced,0.03163476982921156,rbf,,,,PRUNED
106,0.08954943099052083,2026-02-26 12:53:40.458959,2026-02-26 12:56:10.826013,0 days 00:02:30.367054,0.012878675408660962,5,sigmoid,balanced,0.05429749931713716,rbf,,,,PRUNED
107,0.10376569764130925,2026-02-26 12:56:10.852079,2026-02-26 12:58:17.434402,0 days 00:02:06.582323,0.03894995082558198,5,sigmoid,balanced,0.07299112037358493,rbf,,,,COMPLETE
108,0.08985485727060236,2026-02-26 12:58:17.462646,2026-02-26 13:00:21.608545,0 days 00:02:04.145899,0.03866334571618159,5,sigmoid,balanced,0.029561702884860257,rbf,,,,PRUNED
